"filename", "language", "CSS", "ttml", "JavaScript", "JSON", "Markdown", "HTML", "comment", "blank", "total"
"c:\Users\mingliu\Desktop\code\js\feishu\demo\apidoc.html", "HTML", 0, 0, 0, 0, 0, 866, 0, 72, 938
"c:\Users\mingliu\Desktop\code\js\feishu\demo\app.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\mingliu\Desktop\code\js\feishu\demo\app.json", "JSON", 0, 0, 0, 41, 0, 0, 0, 4, 45
"c:\Users\mingliu\Desktop\code\js\feishu\demo\app.ttss", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\acti-setup-form\acti-setup-form.js", "JavaScript", 0, 0, 63, 0, 0, 0, 17, 8, 88
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\acti-setup-form\acti-setup-form.ttml", "ttml", 0, 34, 0, 0, 0, 0, 0, 1, 35
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\acti-setup-form\acti-setup-form.ttss", "CSS", 13, 0, 0, 0, 0, 0, 0, 2, 15
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\activity-list-item\activity-list-item.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\activity-list-item\activity-list-item.ttml", "ttml", 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\activity-list-item\activity-list-item.ttss", "CSS", 86, 0, 0, 0, 0, 0, 0, 3, 89
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\partin-activity-item\partin-activity-item.js", "JavaScript", 0, 0, 14, 0, 0, 0, 3, 1, 18
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\partin-activity-item\partin-activity-item.ttml", "ttml", 0, 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\partin-activity-item\partin-activity-item.ttss", "CSS", 14, 0, 0, 0, 0, 0, 0, 0, 14
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\search-input\search-input.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\search-input\search-input.ttml", "ttml", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mingliu\Desktop\code\js\feishu\demo\components\search-input\search-input.ttss", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mingliu\Desktop\code\js\feishu\demo\networks\index.js", "JavaScript", 0, 0, 19, 0, 0, 0, 2, 1, 22
"c:\Users\mingliu\Desktop\code\js\feishu\demo\networks\requests.js", "JavaScript", 0, 0, 43, 0, 0, 0, 7, 6, 56
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\detail\detail.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 12
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\detail\detail.ttml", "ttml", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\detail\detail.ttss", "CSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\index\index.js", "JavaScript", 0, 0, 70, 0, 0, 0, 4, 6, 80
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\index\index.json", "JSON", 0, 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\index\index.ttml", "ttml", 0, 34, 0, 0, 0, 0, 0, 12, 46
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\index\index.ttss", "CSS", 106, 0, 0, 0, 0, 0, 0, 3, 109
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\login\login.js", "JavaScript", 0, 0, 121, 0, 0, 0, 4, 10, 135
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\login\login.json", "JSON", 0, 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\login\login.ttml", "ttml", 0, 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\login\login.ttss", "CSS", 17, 0, 0, 0, 0, 0, 0, 1, 18
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\more\more.js", "JavaScript", 0, 0, 48, 0, 0, 0, 3, 2, 53
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\more\more.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\more\more.ttml", "ttml", 0, 20, 0, 0, 0, 0, 0, 4, 24
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\more\more.ttss", "CSS", 90, 0, 0, 0, 0, 0, 0, 3, 93
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\partin\partin.js", "JavaScript", 0, 0, 27, 0, 0, 0, 1, 3, 31
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\partin\partin.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\partin\partin.ttml", "ttml", 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\partin\partin.ttss", "CSS", 4, 0, 0, 0, 0, 0, 0, 0, 4
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\user\user.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 6, 28
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\user\user.json", "JSON", 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\user\user.ttml", "ttml", 0, 26, 0, 0, 0, 0, 0, 6, 32
"c:\Users\mingliu\Desktop\code\js\feishu\demo\pages\page\user\user.ttss", "CSS", 115, 0, 0, 0, 0, 0, 0, 16, 131
"c:\Users\mingliu\Desktop\code\js\feishu\demo\project.config.json", "JSON", 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\mingliu\Desktop\code\js\feishu\demo\readme.md", "Markdown", 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\mingliu\Desktop\code\js\feishu\demo\utils\_showModal.js", "JavaScript", 0, 0, 21, 0, 0, 0, 7, 2, 30
"c:\Users\mingliu\Desktop\code\js\feishu\demo\utils\timeFormat.js", "JavaScript", 0, 0, 25, 0, 0, 0, 1, 1, 27
"Total", "-", 445, 143, 505, 79, 12, 866, 49, 185, 2284